País,Total Casos,Nuevos Casos,Total Muertes,Nuevas Muertes,Total Recuperados,Nuevos Recuperados,Casos Activos,Serios/Críticos,Total Casos/1M,Muertes/1M,Total Tests,Tests/1M,Población,Continente
Algeria,201425,201.0,5681,11.0,137775,177.0,57969,24,4495.0,127.0,230861,5152,44809935,Africa
North Macedonia,186549,539.0,6437,41.0,166851,245.0,13261,-1,89546.0,3090.0,1248079,599096,2083270,Europe
Norway,181765,570.0,841,-1.0,88952,-1.0,91972,19,33213.0,154.0,7673875,1402220,5472663,Europe
Kyrgyzstan,177653,86.0,2586,3.0,172111,96.0,2956,131,26696.0,389.0,1702807,255885,6654579,Asia
Botswana,172252,-1.0,2343,-1.0,167318,-1.0,2591,1,71500.0,973.0,1713133,711108,2409104,Africa
Uzbekistan,167858,590.0,1184,5.0,161275,854.0,5399,23,4929.0,35.0,1377915,40459,34056967,Asia
Albania,162173,849.0,2574,5.0,146827,982.0,12772,3,56428.0,896.0,1148395,399583,2873981,Europe
Afghanistan,154539,7.0,7199,4.0,122522,442.0,24818,1124,3865.0,180.0,756771,18924,39989145,Asia
Latvia,150156,542.0,2640,5.0,141576,360.0,5940,35,80692.0,1419.0,4129860,2219344,1860847,Europe
Mozambique,149981,75.0,1903,-1.0,145382,369.0,2696,32,4641.0,59.0,888613,27499,32313897,Africa
Estonia,149314,391.0,1325,3.0,139550,652.0,8439,17,112468.0,998.0,1848398,1392266,1327618,Europe
Finland,136206,391.0,1051,-1.0,46000,-1.0,89155,20,24536.0,189.0,6949536,1251905,5551170,Europe
Zimbabwe,127739,107.0,4563,1.0,120263,107.0,2913,12,8446.0,302.0,1344037,88861,15125095,Africa
Namibia,126708,80.0,3466,5.0,122040,168.0,1202,19,48797.0,1335.0,684387,263568,2596628,Africa
Montenegro,125728,600.0,1839,7.0,115890,553.0,7999,11,200152.0,2928.0,692117,1101811,628163,Europe
Ghana,125005,265.0,1118,2.0,119601,372.0,4286,42,3924.0,35.0,1704233,53495,31857989,Africa
Uganda,122083,99.0,3123,4.0,95879,44.0,23081,381,2571.0,66.0,1643750,34616,47485939,Africa
Cyprus,116494,-1.0,534,-1.0,90755,-1.0,25205,45,95642.0,438.0,9366973,7690321,1218021,Asia
Cambodia,103482,648.0,2096,7.0,96767,492.0,4619,-1,6087.0,123.0,2341555,137744,16999370,Asia
El Salvador,99701,-1.0,3090,12.0,83342,-1.0,13269,158,15278.0,473.0,1250900,191682,6525921,North America
